format,sample,parseable,round_trip,json_recovery,field_accuracy,error
json,0,True,True,True,1.0,
json,1,True,True,True,1.0,
json,2,True,True,True,1.0,
json,3,True,True,True,1.0,
json,4,True,True,True,1.0,
json,5,True,True,True,1.0,
json,6,True,True,True,1.0,
json,7,True,True,True,1.0,
json,8,True,True,True,1.0,
json,9,True,True,True,1.0,
json,10,True,True,True,1.0,
json,11,True,True,True,1.0,
json,12,True,True,True,1.0,
json,13,True,True,True,1.0,
json,14,True,True,True,1.0,
json,15,True,True,True,1.0,
json,16,True,True,True,1.0,
json,17,True,True,True,1.0,
json,18,True,True,True,1.0,
json,19,True,True,True,1.0,
json,20,True,True,True,1.0,
json,21,True,True,True,1.0,
json,22,True,True,True,1.0,
json,23,True,True,True,1.0,
json,24,True,True,True,1.0,
json,25,True,True,True,1.0,
json,26,True,True,True,1.0,
json,27,True,True,True,1.0,
json,28,True,True,True,1.0,
json,29,True,True,True,1.0,
yaml,0,True,True,True,1.0,
yaml,1,True,True,True,1.0,
yaml,2,True,True,True,1.0,
yaml,3,True,True,True,1.0,
yaml,4,True,True,True,1.0,
yaml,5,True,True,True,1.0,
yaml,6,True,True,True,1.0,
yaml,7,True,True,True,1.0,
yaml,8,True,True,True,1.0,
yaml,9,True,True,True,1.0,
yaml,10,True,True,True,1.0,
yaml,11,True,True,True,1.0,
yaml,12,True,True,True,1.0,
yaml,13,True,True,True,1.0,
yaml,14,True,True,True,1.0,
yaml,15,True,True,True,1.0,
yaml,16,True,True,True,1.0,
yaml,17,True,True,True,1.0,
yaml,18,True,True,True,1.0,
yaml,19,True,True,True,1.0,
yaml,20,True,True,True,1.0,
yaml,21,True,True,True,1.0,
yaml,22,True,True,True,1.0,
yaml,23,True,True,True,1.0,
yaml,24,True,True,True,1.0,
yaml,25,True,True,True,1.0,
yaml,26,True,True,True,1.0,
yaml,27,True,True,True,1.0,
yaml,28,True,True,True,1.0,
yaml,29,True,True,True,1.0,
xml,0,True,True,True,1.0,
xml,1,True,True,True,1.0,
xml,2,True,True,True,1.0,
xml,3,True,True,True,1.0,
xml,4,True,True,True,1.0,
xml,5,True,True,True,1.0,
xml,6,True,True,True,1.0,
xml,7,True,True,True,1.0,
xml,8,True,True,True,1.0,
xml,9,True,True,True,1.0,
xml,10,True,True,True,1.0,
xml,11,True,True,True,1.0,
xml,12,True,True,True,1.0,
xml,13,True,True,True,1.0,
xml,14,True,True,True,1.0,
xml,15,True,True,True,1.0,
xml,16,True,True,True,1.0,
xml,17,True,True,True,1.0,
xml,18,True,True,True,1.0,
xml,19,True,True,True,1.0,
xml,20,True,True,True,1.0,
xml,21,True,True,True,1.0,
xml,22,True,True,True,1.0,
xml,23,True,True,True,1.0,
xml,24,True,True,True,1.0,
xml,25,True,True,True,1.0,
xml,26,True,True,True,1.0,
xml,27,True,True,True,1.0,
xml,28,True,True,True,1.0,
xml,29,True,True,True,1.0,
toon,0,True,True,True,1.0,
toon,1,True,True,True,1.0,
toon,2,True,True,True,1.0,
toon,3,True,False,True,0.9861,
toon,4,True,True,True,1.0,
toon,5,True,True,True,1.0,
toon,6,True,True,True,1.0,
toon,7,True,True,True,1.0,
toon,8,True,True,True,1.0,
toon,9,True,True,True,1.0,
toon,10,True,True,True,1.0,
toon,11,True,True,True,1.0,
toon,12,True,True,True,1.0,
toon,13,True,True,True,1.0,
toon,14,True,True,True,1.0,
toon,15,True,True,True,1.0,
toon,16,True,True,True,1.0,
toon,17,True,True,True,1.0,
toon,18,True,True,True,1.0,
toon,19,True,True,True,1.0,
toon,20,True,True,True,1.0,
toon,21,True,True,True,1.0,
toon,22,True,True,True,1.0,
toon,23,True,True,True,1.0,
toon,24,True,True,True,1.0,
toon,25,True,True,True,1.0,
toon,26,True,True,True,1.0,
toon,27,True,True,True,1.0,
toon,28,True,True,True,1.0,
toon,29,True,True,True,1.0,
mini,0,True,True,True,1.0,
mini,1,True,False,True,0.9444,
mini,2,True,False,True,0.9444,
mini,3,True,True,True,1.0,
mini,4,True,False,True,0.9444,
mini,5,True,True,True,1.0,
mini,6,True,True,True,1.0,
mini,7,True,True,True,1.0,
mini,8,True,True,True,1.0,
mini,9,True,True,True,1.0,
mini,10,True,True,True,1.0,
mini,11,True,True,True,1.0,
mini,12,True,True,True,1.0,
mini,13,True,False,True,0.9444,
mini,14,True,True,True,1.0,
mini,15,True,True,True,1.0,
mini,16,True,True,True,1.0,
mini,17,True,True,True,1.0,
mini,18,True,True,True,1.0,
mini,19,True,True,True,1.0,
mini,20,True,False,True,0.9444,
mini,21,True,False,True,0.9444,
mini,22,True,True,True,1.0,
mini,23,True,True,True,1.0,
mini,24,True,True,True,1.0,
mini,25,True,True,True,1.0,
mini,26,True,True,True,1.0,
mini,27,True,True,True,1.0,
mini,28,True,True,True,1.0,
mini,29,True,True,True,1.0,
